"msg_code","vendor_msg_class","vendor_text_msg","vendor_text_msg_description","vendor_severity"
"24038","External-LDAP","Received a subject search response","Received a subject search response.","Debug"
"24039","External-LDAP","Sent a subject's group search request","Sent a subject's group search request.","Debug"
"24040","External-LDAP","Received a subject's group search response","Received a subject's group search response.","Error"
"24041","External-LDAP","Sent subject bind request","Sent subject bind request.","Debug"
"24042","External-LDAP","Received subject bind response","Received subject bind response.","Debug"
"24043","External-LDAP","Sent an administrator bind request","Sent an administrator bind request.","Debug"
"24044","External-LDAP","Received an administrator bind response","Received an administrator bind response.","Debug"
"24050","External-LDAP","Cannot authenticate with LDAP Identity Store because password was not present or was empty","ISE did not receive user password or received empty password. Plain password authentication cannot be performed with no password or empty password.","Warn"
"24051","External-LDAP","Secure LDAP failed SSL handshake because of an unknown CA in the client certificates chain","Secure LDAP failed SSL handshake because of an unknown CA in the client certificates chain.","Error"
"24100","Generic-ID-Store","Some of the expected attributes are not found on the subject record. The default values, if configured, will be used for these attributes","Some of the expected attributes are not found on the subject record. The default values, if configured, will be used for these attributes.","Debug"
"24101","Generic-ID-Store","Some of the retrieved attributes contain multiple values. These values are discarded. The default values, if configured, will be used for these attributes","Some of the retrieved attributes contain multiple values. These values are discarded. The default values, if configured, will be used for these attributes.","Warn"
"24102","Generic-ID-Store","Some of the retrieved attributes contain values that are of an incompatible type. These values are discarded. The default values, if configured, will be used for these attributes","Some of the retrieved attributes contain values that are of an incompatible type. These values are discarded. The default values, if configured, will be used for these attributes.","Warn"
"24201","Local-user-DB","Internal ID Store successfully connected to database","Internal ID Store successfully connected to databas.e","Info"
"24202","Local-user-DB","Internal ID Store could not connect to the database","Internal ID Store could not connect to the database.","Error"
"24203","Local-user-DB","User need to change password","User was marked to change password in Internal database.","Info"
"24204","Local-user-DB","Password changed successfully","Password of user was changed successfully in Internal database.","Info"
"24205","Local-user-DB","Could not change password to new password","Could not change password to new password in Internal database.","Info"
"24206","Local-user-DB","User disabled","User marked disabled in Internal database.","Info"
"24207","Local-user-DB","Host disabled","Host marked disabled in Internal database.","Info"
"24208","Local-user-DB","Looking up Admin in Internal Admins IDStore","Looking up Admin in Internal Admins IDStore.","Debug"
"24209","Local-user-DB","Looking up Endpoint in Internal Endpoints IDStore","Looking up Endpoint in Internal Endpoints IDStore","Debug"
"24210","Local-user-DB","Looking up User in Internal Users IDStore","Looking up User in Internal Users IDStore.","Debug"
"24211","Local-user-DB","Found Endpoint in Internal Endpoints IDStore","Found Endpoint in Internal Endpoints IDStore.","Debug"
"24212","Local-user-DB","Found User in Internal Users IDStore","Found User in Internal Users IDStore.","Debug"
"24213","Local-user-DB","Found SGA Device in Network Devices and AAA Clients","Found SGA Device in Network Devices and AAA Clients.","Debug"
"24214","Local-user-DB","MSCHAP is used for the change password request in the internal users identity store","MSCHAP is used for the change password request in the internal users identity store.","Info"
"24215","Local-user-DB","PAP is used for the change password request in the internal identity store","PAP is used for the change password request in the internal identity store.","Info"
"24216","Local-user-DB","The user is not found in the internal users identity store","The user is not found in the internal users identity store.","Debug"
"24217","Local-user-DB","The host is not found in the internal endpoints identity store","The host is not found in the internal endpoints identity store.","Debug"
"24218","Local-user-DB","The SGA device is not defined under Network Devices and AAA Clients in ISE","The SGA device is not defined under Network Devices and AAA Clients in ISE.","Debug"
"24219","Local-user-DB","User account suspended","User account is suspended due to multiple failed authentication attempts.","Info"
"24400","External-Active-Directory","Connection to ISE Active Directory agent established successfully","Connection to ISE Active Directory agent established successfully.","Info"
"24401","External-Active-Directory","Could not establish connection with ISE Active Directory agent","Could not establish connection with ISE Active Directory agent.","Error"
"24402","External-Active-Directory","User authentication against Active Directory succeeded","User authentication against Active Directory succeeded.","Info"
"24403","External-Active-Directory","User authentication against Active Directory failed","User authentication against Active Directory failed.","Error"
"24404","External-Active-Directory","Active Directory operation failed because of an invalid input parameter","Active Directory operation failed because of an invalid input parameter.","Debug"
"24405","External-Active-Directory","Active Directory operation failed because of a timeout error","Active Directory operation failed because of a timeout error.","Error"
"24406","External-Active-Directory","User authentication against Active Directory failed since user has invalid credentials","User authentication against Active Directory failed since user has invalid credentials.","Debug"
"24407","External-Active-Directory","User authentication against Active Directory failed since user is required to change his password","User authentication against Active Directory failed since user is required to change his password.","Debug"
"24408","External-Active-Directory","User authentication against Active Directory failed since user has entered the wrong password","User authentication against Active Directory failed since user has entered the wrong password.","Debug"
"24409","External-Active-Directory","User authentication against Active Directory failed since the user's account is disabled","User authentication against Active Directory failed since the user's account is disabled.","Debug"
"24410","External-Active-Directory","User authentication against Active Directory failed since user is considered to be in restricted logon hours","User authentication against Active Directory failed since user is considered to be in restricted logon hours.","Debug"
"24411","External-Active-Directory","Change password against Active Directory failed since user has a non-compliant password","Change password against Active Directory failed since user has a non-compliant password.","Debug"
"24412","External-Active-Directory","User not found in Active Directory","User not found in Active Directory.","Debug"
"24413","External-Active-Directory","User's domain is not recognized by Active Directory","User's domain is not recognized by Active Directory.","Debug"
"24414","External-Active-Directory","User authentication against Active Directory failed since the user's account has expired","User authentication against Active Directory failed since the user's account has expired.","Debug"
"24415","External-Active-Directory","User authentication against Active Directory failed since user's account is locked out","User authentication against Active Directory failed since user's account is locked out.","Debug"
"24416","External-Active-Directory","User's Groups retrieval from Active Directory succeeded","User's Groups retrieval from Active Directory succeeded.","Info"
"24417","External-Active-Directory","User's Groups retrieval from Active Directory failed","User's Groups retrieval from Active Directory failed.","Error"
"24418","External-Active-Directory","Machine authentication against Active Directory failed since it is disabled in configuration","Machine authentication against Active Directory failed since it is disabled in configuration.","Error"
"24419","External-Active-Directory","User's Attributes retrieval from Active Directory failed","User's Attributes retrieval from Active Directory failed.","Error"
"24420","External-Active-Directory","User's Attributes retrieval from Active Directory succeeded","User's Attributes retrieval from Active Directory succeeded.","Info"
"24421","External-Active-Directory","Change password against Active Directory failed since it is disabled in configuration","Change password against Active Directory failed since it is disabled in configuration.","Debug"
"24422","External-Active-Directory","ISE has confirmed previous successful machine authentication for user in Active Directory","ISE has confirmed previous successful machine authentication for user in Active Directory.","Info"
"24423","External-Active-Directory","ISE has not been able to confirm previous successful machine authentication for user in Active Directory","ISE has not been able to confirm previous successful machine authentication for user in Active Directory.","Debug"
"24424","External-Active-Directory","Noncompliant attributes detected in Active Directory","Noncompliant attributes detected in Active Directory.","Debug"
"24425","External-Active-Directory","User change password against Active Directory succeeded","User change password against Active Directory succeeded.","Info"
"24426","External-Active-Directory","User change password against Active Directory failed","User change password against Active Directory failed.","Error"
"24427","External-Active-Directory","Access to Active Directory failed","Access to Active Directory failed.","Error"
"24428","External-Active-Directory","Connection related error has occurred in either LRPC, LDAP or KERBEROS","This RPC connection problem may be because the stub received incorrect data.","Error"
"24429","External-Active-Directory","Could not establish connection with Active Directory","Could not establish connection with Active Directory.","Error"
"24430","External-Active-Directory","Authenticating user against Active Directory","Authenticating user against Active Directory.","Debug"
"24431","External-Active-Directory","Authenticating machine against Active Directory","Authenticating machine against Active Directory.","Debug"
"24432","External-Active-Directory","Looking up user in Active Directory","Looking up user in Active Directory.","Debug"
"24433","External-Active-Directory","Looking up machine in Active Directory","Looking up machine in Active Directory.","Debug"
"24434","External-Active-Directory","Performing Change Password in Active Directory","Performing Change Password in Active Directory.","Debug"
"24435","External-Active-Directory","Machine Groups retrieval from Active Directory succeeded","Machine Groups retrieval from Active Directory succeeded.","Info"
"24436","External-Active-Directory","Machine Lookup in Active Directory failed","Machine Lookup in Active Directory failed.","Error"
"24437","External-Active-Directory","Machine not found in Active Directory","Machine not found in Active Directory.","Debug"
"24438","External-Active-Directory","Found multiple occurrences of the machine in Active Directory","Found multiple occurrences of the machine in Active Directory.","Error"
"24439","External-Active-Directory","Machine Attributes retrieval from Active Directory succeeded","Machine Attributes retrieval from Active Directory succeeded.","Info"
"24440","External-Active-Directory","Machine primary group name does not exist in Active Directory","Machine primary group name does not exist in Active Directory.","Error"
"24441","External-Active-Directory","Account not permitted to log on using the current workstation","Account not permitted to log on using the current workstation.","Error"
"24442","External-Active-Directory","User-related object retrieval operation from Active Directory has failed","User-related object retrieval operation from Active Directory has failed.","Error"
"24443","External-Active-Directory","User's Groups retrieval from Active Directory succeeded partially","Only a partial retrieval of user's groups has occurred. This is because either Lookup by Group SID has failed or that Canonical Name attribute was not found.","Info"
"24444","External-Active-Directory","Active Directory operation has failed because of an unspecified error in the ISE","Active Directory operation has failed because of an unspecified error in the ISE.","Error"
"24445","External-Active-Directory","Machine Groups retrieval from Active Directory succeeded partially","Partial retrieval of machine groups because Canonical Name attribute was not found.","Info"
"24446","External-Active-Directory","Active Directory domain controller is unreachable","Active Directory domain controller is unreachable.","Error"
"24447","External-Active-Directory","ISE appliance machine account in Active Directory is disabled, deleted or reset","ISE appliance machine account in Active Directory is disabled, deleted or reset.","Error"
"24448","External-Active-Directory","User object retrieval from Active Directory failed because of a timeout error","User object retrieval from Active Directory failed because of a timeout error.","Error"
"24449","External-Active-Directory","User's Groups retrieval from Active Directory failed because of a timeout error","User's Groups retrieval from Active Directory failed because of a timeout error.","Error"
"24450","External-Active-Directory","User's Attributes retrieval from Active Directory failed because of a timeout error","User's Attributes retrieval from Active Directory failed because of a timeout error.","Error"
"24451","External-Active-Directory","Machine object retrieval from Active Directory failed because of a timeout error","Machine object retrieval from Active Directory failed because of a timeout error.","Error"
"24452","External-Active-Directory","Machine primary group retrieval from Active Directory failed because of a timeout error","Machine primary group retrieval from Active Directory failed because of a timeout error.","Error"
"24453","External-Active-Directory","Machine Attributes retrieval from Active Directory failed because of a timeout error","Machine Attributes retrieval from Active Directory failed because of a timeout error.","Error"
"24454","External-Active-Directory","User authentication against Active Directory failed because of a timeout error","User authentication against Active Directory failed because of a timeout error.","Error"
"24455","External-Active-Directory","Change password against Active Directory failed because of a timeout error","Change password against Active Directory failed because of a timeout error.","Error"
"24456","External-Active-Directory","Not all user Active Directory groups are retrieved successfully. One of the groups was not retrieved by its SID","Not all user Active Directory groups are retrieved successfully. One of the groups was not retrieved by its SID.","Warn"
"24457","External-Active-Directory","Not all user Active Directory groups are retrieved successfully. One or more of the group's canonical name was not retrieved","Not all user Active Directory groups are retrieved successfully. One or more of the group's canonical name was not retrieved.","Warn"
"24458","External-Active-Directory","Not all Active Directory attributes are retrieved successfully","Not all Active Directory attributes are retrieved successfully.","Warn"
"24459","External-Active-Directory","Host memberOf groups do not exist or cannot be retrieved","Host memberOf groups do not exist or cannot be retrieved.","Warn"
"24460","External-Active-Directory","There are multiple occurrences of the user name in the Active directory","There are multiple occurrences of the user name in the Active directory.","Error"
"24461","External-Active-Directory","Could not locate the user in the Active directory using User Lookup","Could not locate the user in the Active directory using User Lookup.","Error"
"24462","External-Active-Directory","The ISE Active Directory module does not have sufficient memory","The ISE Active Directory module does not have sufficient memory.","Error"
"24463","External-Active-Directory","Internal error in the ISE Active Directory","A function related to the Active Directory may have received an illegal parameter, option, or session handler. Alternatively, this directory may be missing a parameter, option, or session handler.","Error"
"24464","External-Active-Directory","The Active Directory does not have the required privileges","The Active Directory does not have the required privileges to perform the specified task.","Error"
"24465","External-Active-Directory","ISE is not joined to an Active Directory Domain Controller","ISE is not joined to an Active Directory Domain Controller.","Error"
"24466","External-Active-Directory","ISE Active Directory agent is down","SE Active Directory agent is down.","Error"
"24467","External-Active-Directory","Could not retrieve the specified object","Could not retrieve the specified object because it belongs to an inaccessible domain.","Error"
"24468","External-Active-Directory","Failed to retrieve the user certificate from Active Directory","Failed to retrieve the user certificate from Active Directory.","Error"
"24469","External-Active-Directory","The user certificate was retrieved from Active Directory successfully","The user certificate was retrieved from Active Directory successfully.","Info"
"24470","External-Active-Directory","Machine authentication against Active Directory is successful","Machine authentication against Active Directory is successful.","Info"
"24471","External-Active-Directory","Active Directory does not support the change EnablePassword option","Active Directory does not support the change EnablePassword option.","Info"
"24472","External-Active-Directory","The user or host account is locked out; setting the IdentityAccessRestricted flag to true","The user or host account is locked out; setting the IdentityAccessRestricted flag to true.","Debug"
"24473","External-Active-Directory","The user's password has expired; setting the IdentityAccessRestricted flag to true","The user's password has expired; setting the IdentityAccessRestricted flag to true.","Debug"
"24474","External-Active-Directory","The user's or host's account has expired; setting the IdentityAccessRestricted flag to true","The user's or host's account has expired; setting the IdentityAccessRestricted flag to true.","Debug"
"24475","External-Active-Directory","The user's or host's account is disabled; setting the IdentityAccessRestricted flag to true","The user's or host's account is disabled; setting the IdentityAccessRestricted flag to true.","Debug"
"24476","External-Active-Directory","The user's or host's account is in restricted logon hours; setting the IdentityAccessRestricted flag to true","The user's or host's account is in restricted logon hours; setting the IdentityAccessRestricted flag to true.","Debug"
"24477","External-Active-Directory","The user is not permitted to log in to Active Directory using the current workstation; setting the IdentityAccessRestricted flag to true","The user is not permitted to log in to Active Directory using the current workstation; setting the IdentityAccessRestricted flag to true.","Debug"
"24478","External-Active-Directory","Error while validating the user or host in Active Directory; the IdentityAccessRestricted flag is not altered","If there is an error while validating the user or host in Active Directory, ISE does not alter the IdentityAccessRestricted flag.","Warn"
"24479","External-Active-Directory","Not all machines in the Active Directory groups are retrieved; one or more of the group's canonical name is not retrieved","Not all machines in the Active Directory groups are retrieved; one or more of the group's canonical name is not retrieved.","Warn"
"24480","External-Active-Directory","The machine-related object retrieval operation from Active Directory has failed","The machine-related object retrieval operation from Active Directory has failed.","Error"
"24481","External-Active-Directory","The machine's attribute retrieval from Active Directory has failed","The machine's attribute retrieval from Active Directory has failed.","Error"
"24482","External-Active-Directory","Successfully retrieved the machine certificate from Active Directory","Successfully retrieved the machine certificate from Active Directory.","Info"
"24483","External-Active-Directory","Failed to retrieve the machine certificate from Active Directory","Failed to retrieve the machine certificate from Active Directory.","Error"
"24484","External-Active-Directory","Machine authentication against Active Directory has failed because the machine's password has expired","Machine authentication against Active Directory has failed because the machine's password has expired.","Debug"
"24485","External-Active-Directory","Machine authentication against Active Directory has failed because of wrong password","Machine authentication against Active Directory has failed because of wrong password.","Debug"
"24486","External-Active-Directory","Machine authentication against Active Directory has failed because the machine's account is disabled","Machine authentication against Active Directory has failed because the machine's account is disabled.","Debug"
"24487","External-Active-Directory","Machine authentication against Active Directory failed since machine is considered to be in restricted logon hours","Machine authentication against Active Directory failed since machine is considered to be in restricted logon hours.","Debug"
"24488","External-Active-Directory","The machine's domain is not recognized by Active Directory","The machine's domain is not recognized by Active Directory.","Debug"
"24489","External-Active-Directory","Machine authentication against Active Directory has failed because the machine's account has expired","Machine authentication against Active Directory has failed because the machine's account has expired.","Debug"
"24490","External-Active-Directory","Machine authentication against Active Directory has failed because the machine's account is locked out","Machine authentication against Active Directory has failed because the machine's account is locked out.","Debug"
"24491","External-Active-Directory","Machine authentication against Active Directory has failed because the machine has invalid credentials","Machine authentication against Active Directory has failed because the machine has invalid credentials.","Debug"
"24492","External-Active-Directory","Machine authentication against Active Directory has failed","Machine authentication against Active Directory has failed.","Error"
"24493","External-Active-Directory","ISE has problems communicating with Active Directory using its machine credentials","ISE has problems communicating with Active Directory using its machine credentials.","Error"
"24494","External-Active-Directory","Active Directory DNS servers are not available","Active Directory DNS servers are not available.","Error"
"24495","External-Active-Directory","Active Directory servers are not available","Active Directory servers are not available.","Error"
"24496","External-Active-Directory","Authentication rejected due to a white or black list restriction","Authentication rejected due to a white or black list restriction.","Warn"
"24500","External-RSA-SecurID-Server","Authenticating user against the RSA SecurID Server","Authenticating user against the RSA SecurID Server.","Debug"
"24501","External-RSA-SecurID-Server","A session is established with the RSA SecurID Server","A session is established with the RSA SecurID Server.","Debug"
"24502","External-RSA-SecurID-Server","The session with RSA SecurID Server is closed","The session with RSA SecurID Server is closed.","Debug"
"24503","External-RSA-SecurID-Server","Cannot establish a session with the RSA SecurID Server","Cannot establish a session with the RSA SecurID Server.","Error"
"24504","External-RSA-SecurID-Server","The lock user request has failed","The lock user request has failed.","Error"
"24505","External-RSA-SecurID-Server","User authentication has succeeded","User authentication against the RSA SecurID Server has succeeded.","Debug"
"24506","External-RSA-SecurID-Server","Check passcode operation succeeded","Check passcode operation against the RSA SecurID Server succeeded.","Debug"
"24507","External-RSA-SecurID-Server","Next Tokencode operation succeeded","Next Tokencode operation against the RSA SecurID Server succeeded.","Debug"
"24508","External-RSA-SecurID-Server","User authentication failed","User authentication against the RSA SecurID Server failed.","Debug"
"24509","External-RSA-SecurID-Server","Check passcode resulted in Next Tokencode required","Check passcode resulted in Next Tokencode required.","Debug"
"24510","External-RSA-SecurID-Server","Check passcode resulted in setting New PIN required","Check passcode resulted in setting New PIN required.","Debug"
"24511","External-RSA-SecurID-Server","Check passcode operation against RSA SecurID Server resulted in error","Check passcode operation against RSA SecurID Server resulted in error.","Error"
"24512","External-RSA-SecurID-Server","Next tokencode operation in RSA SecurID Server resulted in error","Next tokencode operation in RSA SecurID Server resulted in error.","Error"
"24513","External-RSA-SecurID-Server","Set New PIN operation in RSA SecurID Server resulted in error","Set New PIN operation in RSA SecurID Server resulted in error.","Error"
"24514","External-RSA-SecurID-Server","Next tokencode operation in RSA SecurID Server failed","Next tokencode operation in RSA SecurID Server failed.","Debug"
"24515","External-RSA-SecurID-Server","Set New PIN operation in RSA SecurID Server failed","Set New PIN operation in RSA SecurID Server failed.","Debug"
"24516","External-RSA-SecurID-Server","New PIN was set successfully","New PIN was set successfully.","Debug"
"24517","External-RSA-SecurID-Server","User accepts system's PIN","User accepts system's PIN.","Debug"
"24518","External-RSA-SecurID-Server","User canceled New PIN operation; User authentication against RSA SecurIDServer failed","User canceled New PIN operation; User authentication against RSA SecurIDServer failed.","Debug"
"24519","External-RSA-SecurID-Server","User entered invalid PIN; PIN must only contain alpha-numeric characters","User entered invalid PIN; PIN must only contain alpha-numeric characters.","Debug"
"24520","External-RSA-SecurID-Server","User entered invalid PIN; PIN must only contain numeric characters","User entered invalid PIN; PIN must only contain numeric characters.","Debug"
"24521","External-RSA-SecurID-Server","User entered PIN with invalid length","User entered PIN with invalid length.","Debug"
"24522","External-RSA-SecurID-Server","User authentication failed according to configuration to fail after New PIN operation","User authentication failed according to configuration to fail after New PIN operation.","Debug"
"24523","External-RSA-SecurID-Server","Returned challenge asking the user to enter next tokencode","Returned challenge asking the user to enter next tokencode.","Debug"
"24524","External-RSA-SecurID-Server","Received user response for next tokencode challenge","Received user response for next tokencode challenge.","Debug"
"24525","External-RSA-SecurID-Server","Returned challenge asking the user to accept system's PIN","Returned challenge asking the user to accept system's PIN.","Debug"
"24526","External-RSA-SecurID-Server","Received user response for accept system PIN challenge","Received user response for accept system PIN challenge.","Debug"
"24527","External-RSA-SecurID-Server","Returned challenge asking the user to enter new PIN","Returned challenge asking the user to enter new PIN.","Debug"
"24528","External-RSA-SecurID-Server","Received user response for enter new PIN challenge","Received user response for enter new PIN challenge.","Debug"
"24529","External-RSA-SecurID-Server","Returned challenge displaying the user his new PIN","Returned challenge displaying the user his new PIN.","Debug"
"24530","External-RSA-SecurID-Server","Received user response for challenge displaying him his new PIN","Received user response for challenge displaying him his new PIN.","Debug"
"24531","External-RSA-SecurID-Server","Returned challenge asking the user to reenter new PIN","Returned challenge asking the user to reenter new PIN.","Debug"
"24532","External-RSA-SecurID-Server","Received user response for challenge asking the user to reenter new PIN","Received user response for challenge asking the user to reenter new PIN.","Debug"
"24533","External-RSA-SecurID-Server","User reentered a different PIN","User reentered a different PIN.","Error"
"24534","External-RSA-SecurID-Server","Returned challenge asking the user whether he is going to accept system's PIN or will enter a new PIN by himself","Returned challenge asking the user whether he is going to accept system's PIN or will enter a new PIN by himself.","Debug"
"24535","External-RSA-SecurID-Server","Received user response for challenge asking the user to accept system's PIN or enter a new PIN","Received user response for challenge asking the user to accept system's PIN or enter a new PIN.","Debug"
"24536","External-RSA-SecurID-Server","User chose to enter a new PIN","User chose to enter a new PIN.","Debug"
"24537","External-RSA-SecurID-Server","User chose to accept system's PIN","User chose to accept system's PIN.","Debug"
"24538","External-RSA-SecurID-Server","RSA Session was invalidated","RSA Session was invalidated due to agent configuration changes during session.","Debug"
"24539","External-RSA-SecurID-Server","RSA agent configuration loaded, RSA agent started","RSA agent configuration loaded, RSA agent started.","Info"
"24540","External-RSA-SecurID-Server","RSA agent configuration initialized, RSA agent started","RSA agent configuration initialized, RSA agent started.","Info"
"24541","External-RSA-SecurID-Server","RSA agent configuration updated, RSA agent restarted","RSA agent configuration updated, RSA agent restarted.","Info"
"24542","External-RSA-SecurID-Server","RSA agent configuration deleted, RSA agent stopped","RSA agent configuration deleted, RSA agent stopped.","Info"
"24543","External-RSA-SecurID-Server","RSA session timeout, session cancelled","RSA session timeout, session cancelled.","Debug"
"24544","External-RSA-SecurID-Server","RSA agent initialization failed","RSA agent initialization failed.","Error"
"24545","External-RSA-SecurID-Server","The securid file has been removed","The securid file has been removed.","Info"
"24546","External-RSA-SecurID-Server","The sdstatus.12 file has been removed","The sdstatus.12 file has been removed.","Info"
"24547","External-RSA-SecurID-Server","RSA request timeout expired. RSA authentication session cancelled","RSA request timeout expired. RSA authentication session cancelled.","Warn"
"24548","External-RSA-SecurID-Server","RSA agent configuration load failed","RSA agent configuration load failed.","Error"
"24549","External-RSA-SecurID-Server","RSA agent configuration initialization failed","RSA agent configuration initialization failed.","Error"
"24550","External-RSA-SecurID-Server","RSA agent configuration update failed","RSA agent configuration update failed.","Error"
"24551","External-RSA-SecurID-Server","RSA request is declined, because RSA agent initialization has failed","RSA request is declined, because RSA agent initialization has failed.","Warn"
"24552","External-RSA-SecurID-Server","Reject response from the RSA server is considered as User not found","According to the configuration of RSA Identity Store, reject response from the RSA server is considered as User not found.","Debug"
"24553","External-RSA-SecurID-Server","User record was cached","Following a successful authentication against the RSA SecurID server, user record was cached.","Debug"
"24554","External-RSA-SecurID-Server","User record was not cached","User record was not cached.","Debug"
"24555","External-RSA-SecurID-Server","User record was found in the cache","User record was found and retrieved from the cache.","Debug"
"24556","External-RSA-SecurID-Server","User record was not found in the cache","User record was not found in the cache.","Debug"
"24557","External-RSA-SecurID-Server","An error occurred while searching for user records in the cache","An error occurred while searching for user records in the cache.","Debug"
"24558","External-RSA-SecurID-Server","User cache is not enabled in the RSA identity store configuration","User cache is not enabled in the RSA identity store configuration.","Debug"
"24559","External-RSA-SecurID-Server","Searching for user in the RSA identity store","Searching for user in the RSA identity store.","Debug"
"24600","Radius-Token","RADIUS token identity store is created","RADIUS token identity store is created.","Info"
"24601","Radius-Token","RADIUS token identity store is destroyed","RADIUS token identity store is destroyed.","Info"
"24602","Radius-Token","RADIUS token identity store is configured with static prompt","RADIUS token identity store is configured with static prompt.","Info"
"24603","Radius-Token","RADIUS token identity store configured to obtain prompt from RADIUS token server","RADIUS token identity store configured to obtain prompt from RADIUS token serve.r.","Info"
"24604","Radius-Token","RADIUS token primary server was created","RADIUS token primary server was created.","Info"
"24605","Radius-Token","RADIUS token secondary server was created","RADIUS token secondary server was created.","Info"
"24606","Radius-Token","RADIUS token identity store configured to fail on authentication reject","RADIUS token identity store configured to fail on authentication reject.","Info"
"24607","Radius-Token","RADIUS token identity store configured to return unknown user error on authentication reject","RADIUS token identity store configured to return unknown user error on authentication reject.","Info"
"24608","Radius-Token","RADIUS token identity store failed due to wrong input","RADIUS token identity store failed due to wrong input.","Error"
"24609","Radius-Token","RADIUS token identity store is authenticating against the primary server","RADIUS token identity store is authenticating against the primary server.","Info"
"24610","Radius-Token","RADIUS token identity store is authenticating against the secondary server","RADIUS token identity store is authenticating against the secondary server.","Info"
"24611","Radius-Token","RADIUS token server configuration error","RADIUS token server configuration error.","Error"
"24612","Radius-Token","Authentication against the RADIUS token server succeeded","Authentication against the RADIUS token server succeeded.","Info"
"24613","Radius-Token","Authentication against the RADIUS token server failed","Authentication against the RADIUS token server failed.","Error"
"24614","Radius-Token","RADIUS token server authentication failure is translated as Unknown user failure","RADIUS token server authentication failure is translated as Unknown user failure.","Info"
"24615","Radius-Token","RADIUS token identity store received access challenge response","RADIUS token identity store received access challenge response.","Info"
"24616","Radius-Token","RADIUS token identity store received timeout error","RADIUS token identity store received timeout error.","Error"
"24617","Radius-Token","RADIUS token identity store received external error","RADIUS token identity store received external error.","Error"
"24618","Radius-Token","RADIUS token identity store received unknown error","RADIUS token identity store received unknown error.","Error"
"24619","Radius-Token","Non-compliant attributes detected in the RADIUS token identity store","Non-compliant attributes are detected in the RADIUS token identity store.","Debug"
"24620","Radius-Token","User name format was changed after authentication with the RADIUS token server","User name format was changed after authentication with the RADIUS token server.","Info"
"24621","Radius-Token","RADIUS token identity store configured to return defined prompt","RADIUS token identity store has been configured to return defined prompt.","Info"
"24622","Radius-Token","RADIUS token identity store configured to return prompt from the RADIUS token server","RADIUS token identity store has been configured to return prompt from the RADIUS token server.","Info"
"24623","Radius-Token","User record was cached","User record was cached after successful authentication against Radius Token Server.","Debug"
"24624","Radius-Token","User record was not cached","User record was not cached.","Debug"
"24625","Radius-Token","User record found in the cache","User record was found and retrieved from the cache.","Debug"
"24626","Radius-Token","User record not found in the cache","User record not found in the cache.","Debug"
"24627","Radius-Token","An error occurred while searching for user records in the cache","An error occurred while searching for user records in the cache.","Debug"
"24628","Radius-Token","User cache not enabled in the RADIUS token identity store configuration","User cache not enabled in the RADIUS token identity store configuration.","Debug"
"24629","Radius-Token","Searching for user in the RADIUS token identity store","Searching for user in the RADIUS token identity store.","Debug"
"24630","Radius-Token","Failed to get Server IP by name","Failed to get Server IP by name.","Error"
"24631","Local-user-DB","Looking up User in Internal Guests IDStore","Looking up User in Internal Guests IDStore.","Debug"
"24632","Local-user-DB","Found User in Internal Guests IDStore","Found User in Internal Guests IDStore.","Debug"
"24633","Local-user-DB","The user is not found in the internal guests identity store","The specified user is not found in the internal guests identity store.","Debug"
"30000","MGMT","Unknown fatal management error","MGMT fatal unknown error.To recover try to re-run ISE.","Fatal"
"31000","Notification-Dispatcher","Could not initialize notification dispatcher","Could not initialize notification dispatcher.","Error"
"31001","Notification-Dispatcher","Could not send configuration notification message","Could not send configuration notification message.","Error"
"31100","Configuration-Notifications","Applying configuration changes initiated","Applying configuration changes in Runtime initiated.","Debug"
"31101","Configuration-Notifications","Applying configuration changes succeeded","Applying configuration changes in Runtime succeeded. A new configuration version was activated.","Debug"
"31102","Configuration-Notifications","Applying configuration changes failed","Applying configuration changes failed. Runtime process will restart.","Fatal"
"31103","Configuration-Notifications","Start up configuration load succeeded","Start up configuration load succeeded.","Debug"
"31104","Configuration-Notifications","Start up configuration load failed","Start up configuration load failed. Runtime process will go down.","Fatal"
"31105","Configuration-Notifications","Transaction is ignored","A transaction with wrong ID is ignored. Runtime is waiting for transaction with another ID.","Warn"
"31106","Configuration-Notifications","Configuration management could not translate configuration change. Runtime configuration changes will not take effect","Configuration management could not translate configuration change. Runtime configuration changes will not take effect.","Fatal"
"31107","Configuration-Notifications","Cold configuration restart complete","Cold configuration restart complete.","Info"
"31108","Configuration-Notifications","Cold configuration restart failed","Cold configuration restart failed. Runtime process will restart.","Fatal"
"31109","Configuration-Notifications","Warm configuration restart complete","Warm configuration restart complete.","Info"
"31110","Configuration-Notifications","Warm configuration restart failed","Warm configuration restart failed. Falling back to the cold configuration restart.","Warn"
"31111","Configuration-Notifications","The Runtime notifications are out of sync","The Runtime notifications are out of sync. Issuing a sync message to Management.","Warn"
"31200","Audit-Flow","Encountered invalid/Null Log Record encountered","Invalid or null log record.","Error"
"31201","Audit-Flow","Encountered invalid or null system message","Could not create corresponding system message from opcode.","Error"
"31202","Audit-Flow","Encountered invalid or null user context","Encountered invalid or null user context.","Error"
"31203","Audit-Flow","Encountered error while recording the audit record for successful login","Encountered error while recording the audit record for successful login.","Error"
"31204","Audit-Flow","Encountered error while recording the audit record for failed login","Encountered error while recording the audit record for failed login.","Error"
"31205","Audit-Flow","Encountered error while recording the audit record for logout","Encountered error while recording the audit record for logout.","Error"
